CAD CDW ID,CAD Event Number,General Offense Number,Event Clearance Code,Event Clearance Description,Event Clearance SubGroup,Event Clearance Group,Event Clearance Date,Hundred Block Location,District/Sector,Zone/Beat,Census Tract,Longitude,Latitude,Incident Location,Initial Type Description,Initial Type Subgroup,Initial Type Group,At Scene Time
1910611,17000004560,20174560,40,"ASSAULTS, OTHER",ASSAULTS,ASSAULTS,1/4/17 19:42,4XX BLOCK OF 2 AV S,K,K3,9200.2014,-122.33178,47.601494,"(47.601494, -122.33178)",ASLT - WITH OR W/O WEAPONS (NO SHOOTINGS),ASSAULTS,ASSAULTS,
1945644,17000071684,201771684,41,"HARASSMENT, THREATS","THREATS, HARASSMENT","THREATS, HARASSMENT",2/27/17 15:18,17XX BLOCK OF BELMONT AV,E,E1,7402.2004,-122.32449,47.617046,"(47.617046, -122.32449)",TRU - HARASSMENT,"THREATS, HARASSMENT","THREATS, HARASSMENT",
1910633,17000004470,20174470,41,"HARASSMENT, THREATS","THREATS, HARASSMENT","THREATS, HARASSMENT",1/4/17 20:00,9XX BLOCK OF N 85 ST,N,N3,1800.201,-122.34586,47.690567,"(47.690567, -122.34586)",THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),"THREATS, HARASSMENT","THREATS, HARASSMENT",1/4/17 17:34
2076221,17000311363,2017311363,41,"HARASSMENT, THREATS","THREATS, HARASSMENT","THREATS, HARASSMENT",8/23/17 1:44,3XX BLOCK OF 14 AV S,G,G2,9000.2013,-122.31413,47.59961,"(47.59961, -122.31413)",ASLT - IP/JO - WITH OR W/O WPNS (NO SHOOTINGS),ASSAULTS,ASSAULTS,8/22/17 21:13
2076061,17000311170,2017311170,330,"CASUALTY (NON CRIMINAL/TRAFFIC) - MAN DOWN, SICK PERSONS, INJURED, DOA)",CASUALTIES,PERSON DOWN/INJURY,8/22/17 21:00,S GRAHAM ST / 21 AV S,S,S1,10402.1023,-122.30595,47.54652,"(47.54652, -122.30595)","DOA - CASUALTY, DEAD BODY",PERSON DOWN/INJURY,CASUALTIES,8/22/17 18:01
1956932,17000093455,201793455,40,"ASSAULTS, OTHER",ASSAULTS,ASSAULTS,3/16/17 19:22,14XX BLOCK OF MINOR AV,E,E3,8300.2015,-122.32736,47.613438,"(47.613438, -122.32736)",ASLT - IP/JO - WITH OR W/O WPNS (NO SHOOTINGS),ASSAULTS,ASSAULTS,3/16/17 14:28
1922476,17000027272,201727272,41,"HARASSMENT, THREATS","THREATS, HARASSMENT","THREATS, HARASSMENT",1/23/17 9:51,3XX BLOCK OF 18 AV,G,G2,8700.3001,-122.308945,47.605247,"(47.605247, -122.308945)","WEAPN-IP/JO-GUN,DEADLY WPN (NO THRT/ASLT/DIST)",WEAPONS CALLS,WEAPONS CALLS,
2015343,17000201308,2017201308,40,"ASSAULTS, OTHER",ASSAULTS,ASSAULTS,6/5/17 20:49,14XX BLOCK OF BROADWAY,E,E2,8400.1008,-122.32077,47.613518,"(47.613518, -122.32077)",ASLT - IP/JO - WITH OR W/O WPNS (NO SHOOTINGS),ASSAULTS,ASSAULTS,6/5/17 17:42
1910771,17000004824,20174824,330,"CASUALTY (NON CRIMINAL/TRAFFIC) - MAN DOWN, SICK PERSONS, INJURED, DOA)",CASUALTIES,PERSON DOWN/INJURY,1/5/17 2:02,3XX BLOCK OF NW 127 ST,N,N1,500.2009,-122.361984,47.721455,"(47.721455, -122.361984)","DOA - CASUALTY, DEAD BODY",PERSON DOWN/INJURY,CASUALTIES,1/4/17 23:44
2063866,17000289257,2017289257,41,"HARASSMENT, THREATS","THREATS, HARASSMENT","THREATS, HARASSMENT",8/6/17 10:58,15XX BLOCK OF 13 AV,E,E2,7500.4007,-122.31554,47.614693,"(47.614693, -122.31554)","DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCES,DISTURBANCES,8/6/17 8:58
2063867,17000289216,2017289216,330,"CASUALTY (NON CRIMINAL/TRAFFIC) - MAN DOWN, SICK PERSONS, INJURED, DOA)",CASUALTIES,PERSON DOWN/INJURY,8/6/17 10:50,27XX BLOCK OF 37 AV SW,W,W1,9800.1032,-122.3781,47.578354,"(47.578354, -122.3781)","DOA - CASUALTY, DEAD BODY",PERSON DOWN/INJURY,CASUALTIES,8/6/17 7:42
1991522,17000157690,2017157690,41,"HARASSMENT, THREATS","THREATS, HARASSMENT","THREATS, HARASSMENT",5/5/17 19:52,22XX BLOCK OF E MADISON ST,C,C3,7900.1,-122.3031,47.618797,"(47.618797, -122.3031)",THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),"THREATS, HARASSMENT","THREATS, HARASSMENT",5/5/17 18:37
1991526,17000157662,2017157662,41,"HARASSMENT, THREATS","THREATS, HARASSMENT","THREATS, HARASSMENT",5/5/17 20:00,46XX BLOCK OF 14 AV NW,B,B1,4700.2051,-122.3736,47.662567,"(47.662567, -122.3736)",THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),"THREATS, HARASSMENT","THREATS, HARASSMENT",5/5/17 18:09
2076155,17000311368,2017311368,43,"ASSAULTS, FIREARM INVOLVED",GUN CALLS,ASSAULTS,8/22/17 23:40,3XX BLOCK OF 2 AV S,K,K3,9200.2028,-122.33081,47.600464,"(47.600464, -122.33081)","WEAPN-IP/JO-GUN,DEADLY WPN (NO THRT/ASLT/DIST)",WEAPONS CALLS,WEAPONS CALLS,8/22/17 21:16
2003262,17000179398,2017179398,41,"HARASSMENT, THREATS","THREATS, HARASSMENT","THREATS, HARASSMENT",5/21/17 17:29,14XX BLOCK OF 23 AV W,Q,Q1,5802.3036,-122.38701,47.632492,"(47.632492, -122.38701)",THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),"THREATS, HARASSMENT","THREATS, HARASSMENT",5/21/17 17:01
1979866,17000136217,2017136217,40,"ASSAULTS, OTHER",ASSAULTS,ASSAULTS,4/19/17 4:21,82XX BLOCK OF AURORA AV N,J,J3,2800.4008,-122.34451,47.68875,"(47.68875, -122.34451)",ASLT - WITH OR W/O WEAPONS (NO SHOOTINGS),ASSAULTS,ASSAULTS,
1956771,17000093175,201793175,330,"CASUALTY (NON CRIMINAL/TRAFFIC) - MAN DOWN, SICK PERSONS, INJURED, DOA)",CASUALTIES,PERSON DOWN/INJURY,3/16/17 15:03,45XX BLOCK OF 42 AV SW,W,W2,10500.4003,-122.38546,47.56199,"(47.56199, -122.38546)","DOA - CASUALTY, DEAD BODY",PERSON DOWN/INJURY,CASUALTIES,3/16/17 11:38
1956743,17000093362,201793362,40,"ASSAULTS, OTHER",ASSAULTS,ASSAULTS,3/16/17 14:34,6XX BLOCK OF 2 AV,K,K1,8100.1035,-122.33285,47.60266,"(47.60266, -122.33285)",ASLT - WITH OR W/O WEAPONS (NO SHOOTINGS),ASSAULTS,ASSAULTS,3/16/17 13:16
2039409,17000244922,2017244922,41,"HARASSMENT, THREATS","THREATS, HARASSMENT","THREATS, HARASSMENT",7/6/17 19:21,3XX BLOCK OF NW 85 ST,J,J1,1701.1017,-122.361984,47.69063,"(47.69063, -122.361984)","DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCES,DISTURBANCES,7/6/17 14:46
1945610,17000071613,201771613,330,"CASUALTY (NON CRIMINAL/TRAFFIC) - MAN DOWN, SICK PERSONS, INJURED, DOA)",CASUALTIES,PERSON DOWN/INJURY,2/27/17 14:14,DENNY WY / BROAD ST,Q,Q3,7100.2001,-122.35036,47.61858,"(47.61858, -122.35036)",DOWN - CHECK FOR PERSON DOWN,PERSON DOWN/INJURY,CASUALTIES,
1956761,17000093022,201793022,40,"ASSAULTS, OTHER",ASSAULTS,ASSAULTS,3/16/17 14:52,34XX BLOCK OF FREMONT AV N,B,B2,4900.2023,-122.34979,47.65001,"(47.65001, -122.34979)",ASLT - WITH OR W/O WEAPONS (NO SHOOTINGS),ASSAULTS,ASSAULTS,3/16/17 9:01
2039431,17000245303,2017245303,40,"ASSAULTS, OTHER",ASSAULTS,ASSAULTS,7/6/17 20:11,100XX BLOCK OF AURORA AV N,N,N3,1300.3,-122.34466,47.701794,"(47.701794, -122.34466)",ROBBERY - IP/JO (INCLUDES STRONG ARM),ROBBERY,ROBBERY,7/6/17 19:01
